no,name,team,change,numOfGame,changePerGame
1,김호남,제주,24,25,0.96
2,송시우,인천,23,23,1
2,김신욱,전북,23,27,0.85
2,조성준,광주,23,27,0.85
5,박주영,서울,22,28,0.79
6,박용지,성남,21,22,0.95
6,이정협,울산,21,25,0.84
6,김승준,울산,21,26,0.81
9,조영철,상주,20,23,0.87
