no,name,team,change,numOfGame,changePerGame
1,이성재,부천SK,24,24,1
2,이원식,부천SK,23,29,0.79
3,이용하,부산,22,24,0.92
3,하은철,전북,22,24,0.92
5,김종천,포항,19,22,0.86
5,김기남1,울산,19,25,0.76
7,이기범,울산,18,19,0.95
7,안홍민,울산,18,22,0.82
9,전현석,전북,17,17,1
9,정성천,대전,17,19,0.89
9,강정훈,대전,17,21,0.81
9,오광훈,전북,17,23,0.74
9,김종건2,울산,17,25,0.68
