no,name,team,score,numOfGame,ScorePergame
1,티아고,성남,18,19,0.95
1,아드리아노,서울,18,24,0.75
1,마르셀로,제주,18,31,0.58
4,정조국,광주,17,26,0.65
4,박기동,전남,17,27,0.63
6,양동현,포항,16,27,0.59
6,케빈,인천,16,28,0.57
6,로페즈,전북,16,29,0.55
6,염기훈,수원,16,29,0.55
10,데얀,서울,15,31,0.48
