no,name,team,score,numOfGame,ScorePergame
1,최순호,포철,20,24,0.83
1,백종철,현대,20,28,0.71
3,렌스베르겐,현대,18,27,0.67
4,김용세,유공,16,28,0.57
5,왕선재,한일,15,27,0.56
6,이태호,대우,14,20,0.7
7,박창선,대우,13,28,0.46
7,조영증,럭금,13,28,0.46
9,오석재,할렐,12,22,0.55
