no,name,team,score,numOfGame,ScorePergame
1,몰리나,서울,37,41,0.9
2,데얀,서울,35,42,0.83
3,이동국,전북,32,40,0.8
4,에닝요,전북,28,38,0.74
5,자일,제주,27,44,0.61
6,산토스,제주,25,35,0.71
7,케빈,대전,20,37,0.54
7,황진성,포항,20,41,0.49
9,지쿠,강원,19,32,0.59
9,드로겟,전북,19,37,0.51
