no,name,team,score,numOfGame,ScorePergame
1,안정환,부산,21,24,0.88
1,샤샤2,수원,21,26,0.81
3,곽경근,부천SK,16,28,0.57
4,고정운,포항,14,19,0.74
4,최용수1,안양LG,14,20,0.7
4,세자르2,전남,14,27,0.52
4,마니치,부산,14,30,0.47
8,비탈리,수원,13,23,0.57
8,김종건2,울산,13,25,0.52
8,노상래,전남,13,27,0.48
