no,name,team,score,numOfGame,ScorePergame
1,샤샤2,부산,10,13,0.77
1,마니치,부산,10,15,0.67
1,스카첸코,전남,10,15,0.67
1,김현석2,울산,10,17,0.59
5,잔코,전북,9,14,0.64
6,데니스,수원,7,10,0.7
6,김이주,천안,7,12,0.58
6,김현민,대전,7,15,0.47
6,비탈리,전북,7,16,0.44
