no,name,team,score,numOfGame,ScorePergame
1,라데,포철,23,27,0.85
2,윤상철,LG,22,28,0.79
3,황보관,유공,16,22,0.73
4,고정운,일화,14,21,0.67
5,김경래,버팔,13,29,0.45
5,최용수1,LG,13,29,0.45
7,최문식,포철,12,19,0.63
7,노경환,대우,12,22,0.55
7,조정현,유공,12,24,0.5
