no,name,team,score,numOfGame,ScorePergame
1,윤상철,LG,17,27,0.63
2,이상윤,일화,13,29,0.45
3,차상해,포철,12,23,0.52
3,라데,포철,12,25,0.48
3,김봉길,유공,12,29,0.41
6,신태용,일화,11,28,0.39
7,이기근,대우,9,23,0.39
7,김이주,일화,9,24,0.38
9,이태홍,일화,8,25,0.32
