no,name,team,score,numOfGame,ScorePergame
1,피아퐁,럭금,18,21,0.86
2,김용세,유공,12,21,0.57
2,이상래,럭금,12,21,0.57
2,이흥실,포철,12,21,0.57
5,호샤,포철,10,16,0.63
6,김한봉,현대,9,18,0.5
7,정해원,대우,8,17,0.47
7,홍석민,상무,8,18,0.44
7,강득수,럭금,8,21,0.38
