no,name,team,score,numOfGame,ScorePergame
1,두두,성남,21,27,0.78
1,데얀,서울,21,29,0.72
3,에두,수원,18,27,0.67
4,이근호,대구,17,26,0.65
5,라돈치치,인천,15,26,0.58
6,에닝요,대구,14,19,0.74
6,장남석,대구,14,24,0.58
8,모따,성남,13,22,0.59
8,스테보,포항,13,22,0.59
10,정조국,서울,12,14,0.86
10,데닐손,포항,12,19,0.63
