no,name,team,score,numOfGame,ScorePergame
1,노상래,전남,20,26,0.77
2,황선홍,포항,17,24,0.71
2,김현석2,현대,17,26,0.65
4,라데,포항,12,24,0.5
5,김도훈,전북,9,18,0.5
5,최용수1,LG,9,21,0.43
5,황보관,유공,9,23,0.39
5,황연석,일화,9,23,0.39
5,신태용,일화,9,26,0.35
