no,name,team,shoot,numOfGame,ShootPerGame
1,주앙파울로,대전,150,35,4.29
2,데얀,서울,122,29,4.21
3,케빈,전북,92,31,2.97
4,하피냐,울산,85,24,3.54
4,몰리나,서울,85,35,2.43
6,이동국,전북,84,30,2.8
6,김신욱,울산,84,36,2.33
8,아사모아,대구,81,33,2.45
9,페드로,제주,77,29,2.66
