no,name,team,shoot,numOfGame,ShootPerGame
1,김현석2,울산,67,17,3.94
2,비탈리,전북,53,16,3.31
3,마니치,부산,47,15,3.13
4,스카첸코,전남,46,15,3.07
5,바데아,수원,45,16,2.81
6,세르게이,부천SK,42,12,3.5
6,황연석,천안,42,18,2.33
8,김기선,전남,36,16,2.25
9,신진원,대전,35,17,2.06
10,잔코,전북,30,14,2.14
