no,name,team,shoot,numOfGame,ShootPerGame
1,이동국,전북,108,29,3.72
2,에닝요,전북,85,25,3.4
3,데얀,서울,84,23,3.65
4,인디오,경남,83,27,3.07
5,김명중,포항,79,27,2.93
6,최성국,광주상,73,26,2.81
7,몰리나,성남,72,17,4.24
7,유병수,인천,72,27,2.67
9,고창현,대전,67,19,3.53
