no,name,team,shoot,numOfGame,ShootPerGame
1,데닐손,대전,87,24,3.63
2,데얀,인천,83,26,3.19
3,뽀뽀,경남,74,21,3.52
4,에닝요,대구,71,20,3.55
4,까보레,경남,71,26,2.73
6,스테보,전북,68,25,2.72
7,루이지뉴,대구,65,23,2.83
8,김두현,성남,57,27,2.11
9,이천수,울산,51,16,3.19
10,이근호,대구,50,20,2.5
10,에두,수원,50,23,2.17
