no,name,team,shoot,numOfGame,ShootPerGame
1,마그노,전북,157,44,3.57
2,에드밀손,전북,142,39,3.64
3,도도,울산,137,44,3.11
4,이따마르,전남,132,34,3.88
5,김도훈,성남,94,40,2.35
6,샤샤2,성남,92,39,2.36
7,이동국,광주상,89,27,3.3
8,우성용,포항,82,40,2.05
9,뚜따,수원,80,31,2.58
