no,name,team,shoot,numOfGame,ShootPerGame
1,함현기,현대,53,20,2.65
2,정해원,대우,43,19,2.26
3,조민국,럭금,34,10,3.4
4,구본석,유공,32,18,1.78
5,노수진,유공,29,10,2.9
5,조긍연,포철,29,18,1.61
7,김용세,유공,28,10,2.8
7,박항서,럭금,28,19,1.47
7,이상래,럭금,28,19,1.47
