no,name,team,shoot,numOfGame,ShootPerGame
1,스카첸코,안양LG,123,31,3.97
2,라데,포항,101,32,3.16
3,김현석2,울산,88,27,3.26
4,세르게이,부천유공,83,28,2.96
5,조정현,부천유공,73,29,2.52
6,신태용,천안,68,24,2.83
7,이기근,수원,67,26,2.58
8,노상래,전남,66,28,2.36
9,비탈리,전북,64,26,2.46
