no,name,team,shoot,numOfGame,ShootPerGame
1,샤샤2,수원,70,18,3.89
2,백승철,포항,67,20,3.35
3,유상철,울산,63,20,3.15
4,이동국,포항,57,15,3.8
4,고종수,수원,57,19,3
6,노상래,전남,51,18,2.83
7,안정환,부산,50,17,2.94
8,박태하,포항,48,20,2.4
9,비탈리,수원,46,18,2.56
9,신진원,대전,46,18,2.56
