no,name,team,shoot,numOfGame,ShootPerGame
1,스테보,전남,83,35,2.37
2,이동국,전북,81,31,2.61
3,로저,수원,77,32,2.41
3,산토스,수원,77,35,2.2
5,카이오,전북,74,32,2.31
5,레오나르도,전북,74,35,2.11
7,정대세,수원,65,28,2.32
7,황일수,제주,65,31,2.1
9,파그너,부산,64,34,1.88
9,드로겟,제주,64,36,1.78
