no,name,team,shoot,numOfGame,ShootPerGame
1,샤샤2,수원,124,26,4.77
2,노상래,전남,93,27,3.44
3,세자르2,전남,84,27,3.11
4,김현석2,울산,81,27,3
5,최용수1,안양LG,77,20,3.85
5,곽경근,부천SK,77,28,2.75
7,안정환,부산,68,24,2.83
8,마니치,부산,62,30,2.07
9,이원식,부천SK,61,29,2.1
