no,name,team,shoot,numOfGame,ShootPerGame
1,김현석2,현대,116,39,2.97
2,고정운,일화,92,40,2.3
3,조민국,LG,88,32,2.75
4,김주성,대우,84,37,2.27
5,이기근,포철,83,37,2.24
6,이상윤,일화,76,35,2.17
7,박태하,포철,68,31,2.19
8,오동천,일화,55,37,1.49
9,이원철,포철,53,34,1.56
