no,name,team,shoot,numOfGame,ShootPerGame
1,라데,포철,63,25,2.52
2,이상윤,일화,60,29,2.07
3,김기선,유공,56,26,2.15
4,김봉길,유공,54,29,1.86
5,이태홍,일화,51,25,2.04
5,신태용,일화,51,28,1.82
7,황보관,유공,46,18,2.56
8,김판근,대우,45,23,1.96
9,차상해,포철,42,23,1.83
