no,name,team,shoot,numOfGame,ShootPerGame
1,뽀뽀,부산,76,24,3.17
2,김두현,성남,68,28,2.43
3,김형범,전북,60,23,2.61
4,이따마르,성남,58,25,2.32
4,루시아노,경남,58,26,2.23
6,데닐손,대전,57,18,3.17
6,네아가,성남,57,28,2.04
8,이천수,울산,55,18,3.06
9,레안드롱,울산,48,22,2.18
10,정경호,광주상,46,19,2.42
10,두두,서울,46,26,1.77
