no,name,team,shoot,numOfGame,ShootPerGame
1,두두,성남,77,24,3.21
2,레안드롱,대전,68,19,3.58
3,산드로2,대구,64,24,2.67
4,박주영,서울,54,19,2.84
4,라돈치치,인천,54,22,2.45
6,네또,전북,50,20,2.5
6,이관우,대전,50,21,2.38
6,셀미르,인천,50,25,2
9,뽀뽀,부산,46,19,2.42
