no,name,team,shoot,numOfGame,ShootPerGame
1,최상국,포철,81,30,2.7
2,노수진,유공,66,30,2.2
3,변병주,대우,63,30,2.1
4,최진한,럭금,54,29,1.86
5,이흥실,포철,52,29,1.79
6,김주성,대우,51,28,1.82
7,이상철1,현대,50,28,1.79
8,정해원,대우,49,28,1.75
9,함현기,현대,45,29,1.55
