no,name,team,shoot,numOfGame,ShootPerGame
1,조긍연,포철,117,39,3
2,노수진,유공,88,30,2.93
3,최진한,럭금,85,38,2.24
4,강재순,현대,71,40,1.77
5,최태진,럭금,70,34,2.06
6,고정운,일화,67,31,2.16
7,윤상철,럭금,65,38,1.71
8,백종철,일화,57,22,2.59
9,이흥실,포철,51,39,1.31
