no,name,team,shoot,numOfGame,ShootPerGame
1,데얀,서울,113,30,3.77
2,이동국,전북,110,29,3.79
3,바그너,대전,91,27,3.37
4,몰리나,서울,87,29,3
5,에닝요,전북,81,26,3.12
6,주앙파울로,광주,69,27,2.56
7,김정우,성남,66,23,2.87
8,박성호,대전,63,28,2.25
8,산토스,제주,63,29,2.17
