no,name,team,shoot,numOfGame,ShootPerGame
1,김현석2,현대,54,28,1.93
2,최진한,럭금,53,27,1.96
2,윤상철,럭금,53,30,1.77
4,고정운,일화,50,21,2.38
5,이태호,대우,49,19,2.58
5,최태진,럭금,49,29,1.69
7,최상국,포철,43,19,2.26
8,김용세,일화,41,24,1.71
9,이계원,포철,40,26,1.54
