no,name,team,shoot,numOfGame,ShootPerGame
1,오석재,할렐,51,16,3.19
2,최상국,포철,43,16,2.69
3,박윤기,유공,39,14,2.79
4,이길용1,포철,38,13,2.92
5,정해원,대우,33,13,2.54
6,이춘석,대우,32,16,2
7,이태엽,국민,31,15,2.07
8,조광래,대우,30,15,2
9,김용세,유공,29,16,1.81
