no,name,team,shoot,numOfGame,ShootPerGame
1,김현석2,현대,87,29,3
2,고정운,일화,55,26,2.12
3,황보관,유공,52,27,1.93
4,조민국,LG,47,26,1.81
5,박태하,포철,44,28,1.57
6,신홍기,현대,43,30,1.43
7,윤상철,LG,42,28,1.5
8,이상윤,일화,41,28,1.46
9,신태용,일화,37,18,2.06
9,하석주,대우,37,22,1.68
