no,name,team,shoot,numOfGame,ShootPerGame
1,라데,포철,73,27,2.7
2,윤상철,LG,70,28,2.5
3,최용수1,LG,63,29,2.17
4,김경래,버팔,62,29,2.14
5,고정운,일화,57,21,2.71
6,황보관,유공,46,22,2.09
7,문영래,버팔,45,26,1.73
8,노경환,대우,44,22,2
9,정정수,현대,43,26,1.65
9,이상윤,일화,43,27,1.59
