no,name,team,shoot,numOfGame,ShootPerGame
1,마르셀,수원,88,26,3.38
2,모따,전남,73,22,3.32
3,나드손,수원,65,26,2.5
4,이따마르,전남,56,22,2.55
4,김은중,서울,56,24,2.33
6,노나또,대구,55,23,2.39
7,훼이종,대구,53,19,2.79
8,이동국,광주상,52,19,2.74
8,이관우,대전,52,21,2.48
