no,name,team,shoot,numOfGame,ShootPerGame
1,최순호,포철,78,24,3.25
2,백종철,현대,73,28,2.61
3,박창선,대우,65,28,2.32
4,정해원,대우,58,23,2.52
5,왕선재,한일,54,27,2
6,박윤기,유공,53,27,1.96
6,김용세,유공,53,28,1.89
8,이태호,대우,52,20,2.6
9,최덕주,한일,51,19,2.68
