no,name,team,shoot,numOfGame,ShootPerGame
1,몰리나,성남,118,29,4.07
2,이동국,전북,94,28,3.36
3,유병수,인천,87,28,3.11
4,에닝요,전북,86,27,3.19
4,루시오,경남,86,28,3.07
6,데얀,서울,85,28,3.04
7,라돈치치,성남,84,27,3.11
8,인디오,전남,78,23,3.39
9,김영후,강원,69,28,2.46
