no,name,team,shoot,numOfGame,ShootPerGame
1,노상래,전남,77,26,2.96
2,김현석2,현대,73,26,2.81
3,황선홍,포항,71,24,2.96
4,최용수1,LG,70,21,3.33
5,샤샤2,대우,61,25,2.44
6,라데,포항,55,24,2.29
7,유상철,현대,52,26,2
8,고정운,일화,47,25,1.88
9,김봉길,전남,45,25,1.8
