no,name,team,shoot,numOfGame,ShootPerGame
1,샤샤2,성남,86,25,3.44
2,산드로C,수원,79,22,3.59
3,김도훈,전북,71,26,2.73
3,세자르2,전남,71,26,2.73
5,남기일,부천SK,67,27,2.48
6,데니스,수원,65,25,2.6
7,신태용,성남,64,27,2.37
8,김현석2,울산,62,25,2.48
9,서정원,수원,55,25,2.2
