no,name,team,shoot,numOfGame,ShootPerGame
1,피아퐁,럭금,58,21,2.76
2,김용세,유공,55,21,2.62
3,이흥실,포철,48,21,2.29
4,황석근,한일,47,14,3.36
5,정해원,대우,45,17,2.65
6,이상래,럭금,43,21,2.05
7,이계원,상무,42,17,2.47
7,소광호,상무,42,20,2.1
9,이학종,한일,41,19,2.16
10,홍석민,상무,39,18,2.17
