no,name,team,shoot,numOfGame,ShootPerGame
1,신태용,성남,71,27,2.63
1,박남열,성남,71,29,2.45
3,마니치,부산,70,25,2.8
4,김도훈,전북,66,20,3.3
4,노상래,전남,66,26,2.54
6,이상윤,성남,65,25,2.6
6,세자르2,전남,65,27,2.41
8,곽경근,부천SK,64,31,2.06
9,샤샤2,수원,63,14,4.5
