no,name,team,change,numOfGame,ChangePerGame
1,최문식,포철,19,20,0.95
1,심봉섭,대우,19,24,0.79
3,김이주,일화,18,24,0.75
4,이기근,포철,17,21,0.81
4,김상진,럭금,17,26,0.65
4,노경환,대우,17,26,0.65
4,김봉길,유공,17,27,0.63
8,김준현,유공,16,17,0.94
8,이인재,럭금,16,17,0.94
8,정동복,현대,16,22,0.73
