no,name,team,goalKick,numOfGame,GoalKickPerGame
1,김영광1,울산,271,25,10.84
2,정성룡,성남,267,27,9.89
3,이운재,수원,251,28,8.96
4,권순태,전북,246,24,10.25
5,김용대,광주상,239,24,9.96
6,백민철,대구,234,26,9
7,염동균,전남,221,23,9.61
8,김호준1,서울,218,24,9.08
8,이광석,경남,218,25,8.72
