no,name,team,change,numOfGame,ChangePerGame
1,전경준,부천SK,25,25,1
2,황연석,성남,21,23,0.91
3,이원식,부천SK,20,21,0.95
3,코난,포항,20,25,0.8
5,김대의,성남,19,21,0.9
5,이용하,부산,19,23,0.83
5,박규선,울산,19,25,0.76
8,노상래,전남,18,19,0.95
8,탁준석,대전,18,19,0.95
