no,name,team,change,numOfGame,ChangePerGame
1,이관우,수원,22,22,1
1,조형익,대구,22,22,1
1,이진호2,울산,22,26,0.85
4,이승렬,서울,21,21,1
4,김상록,인천,21,22,0.95
6,남궁도,포항,20,24,0.83
7,박재현,인천,19,20,0.95
7,김동현3,성남,19,21,0.9
7,김정우,성남,19,22,0.86
7,황진성,포항,19,22,0.86
7,김진용2,경남,19,23,0.83
