no,name,team,change,numOfGame,ChangePerGame
1,김기남1,울산,18,18,1
2,김기선,전남,16,17,0.94
2,최문식,포항,16,18,0.89
4,미하이,수원,15,17,0.88
5,김종건2,울산,14,21,0.67
6,자심,포항,13,14,0.93
6,전경준,포항,13,14,0.93
6,김귀화,안양LG,13,15,0.87
6,제용삼,안양LG,13,16,0.81
6,정정수,울산,13,19,0.68
