no,name,team,goalKick,numOfGame,GoalKickPerGame
1,차상광,LG,263,36,7.31
2,이문영,유공,246,28,8.79
3,김풍주,대우,233,37,6.3
4,박철우,포철,224,28,8
5,최인영,현대,210,30,7
6,김영호1,일화,177,22,8.05
7,마르첼,일화,150,21,7.14
8,유대순,유공,128,12,10.67
9,정기동,포철,80,12,6.67
