no,name,team,goalKick,numOfGame,GoalKickPerGame
1,김병지,경남,362,37,9.78
2,김용대,서울,360,44,8.18
3,박호진,광주,316,35,9.03
4,최은성,전북,297,34,8.74
5,정성룡,수원,282,33,8.55
6,이운재,전남,280,33,8.48
7,김선규,대전,279,35,7.97
7,유현,인천,279,35,7.97
9,한동진,제주,277,30,9.23
