no,name,team,goalKick,numOfGame,GoalKickPerGame
1,최은성,대전,274,26,10.54
2,김병지,서울,223,27,8.26
3,이정래,경남,214,26,8.23
4,김용대,성남,210,23,9.13
5,정유석,부산,200,22,9.09
6,권순태,전북,170,19,8.95
6,김지혁,울산,170,19,8.95
8,조준호,제주,153,21,7.29
9,성경모,인천,151,19,7.95
