no,name,team,change,numOfGame,ChangePerGame
1,백현영,유공,17,19,0.89
2,신현호,할렐,16,26,0.62
3,이상래,럭금,14,15,0.93
3,최철희,국민,14,18,0.78
5,방윤출,한일,13,17,0.76
5,변일우,할렐,13,23,0.57
7,백남수,유공,11,17,0.65
7,박정일,럭금,11,18,0.61
9,오필환,할렐,10,13,0.77
9,김진국,국민,10,15,0.67
9,이강석,할렐,10,15,0.67
9,이종광,럭금,10,17,0.59
9,이태엽,국민,10,17,0.59
9,신상근,포철,10,21,0.48
9,이길용1,포철,10,22,0.45
