no,name,team,change,numOfGame,ChangePerGame
1,조긍연,포철,11,18,0.61
2,김충환,한일,9,12,0.75
2,최용길,한일,9,12,0.75
2,이상철1,현대,9,15,0.6
5,심규선,포철,8,10,0.8
5,전영수,현대,8,10,0.8
5,백남수,포철,8,14,0.57
5,김영규,유공,8,17,0.47
9,최진한,럭금,7,14,0.5
9,강신우,대우,7,15,0.47
