no,name,team,change,numOfGame,ChangePerGame
1,안기철,대우,23,27,0.85
2,이춘석,대우,22,23,0.96
3,김홍운1,포철,20,26,0.77
4,조긍연,포철,19,20,0.95
4,백종철,현대,19,25,0.76
4,이기근,포철,19,26,0.73
7,이태형1,대우,17,19,0.89
7,황영우,포철,17,20,0.85
9,이길용1,포철,16,18,0.89
