no,name,team,goalKick,numOfGame,GoalKickPerGame
1,신의손,안양LG,248,27,9.19
2,최은성,대전,246,25,9.84
3,이용발,부천SK,241,27,8.93
4,정유석,부산,234,24,9.75
5,김병지,포항,227,22,10.32
6,김해운,성남,187,22,8.5
7,박종문,전남,177,19,9.32
8,양지원,울산,165,15,11
8,서동명,전북,165,20,8.25
