no,name,team,goalKick,numOfGame,GoalKickPerGame
1,김병지,울산,259,22,11.77
2,박동우,부천SK,218,18,12.11
3,이광석,전북,179,17,10.53
4,신범철,부산,167,16,10.44
4,최은성,대전,167,17,9.82
6,김해운,천안,165,13,12.69
7,임종국,안양LG,160,14,11.43
8,김이섭,포항,147,15,9.8
9,이운재,수원,130,18,7.22
