no,name,team,goalKick,numOfGame,GoalKickPerGame
1,김용대,성남,273,28,9.75
2,김병지,서울,269,26,10.35
3,김영광1,울산,257,26,9.88
4,최은성,대전,230,24,9.58
5,이정래,경남,228,25,9.12
6,염동균,전남,225,26,8.65
7,이운재,수원,219,25,8.76
8,김이섭,인천,208,19,10.95
9,백민철,대구,203,23,8.83
