no,name,team,goalKick,numOfGame,GoalKickPerGame
1,조병득,포철,287,25,11.48
1,차상광,럭금,287,32,8.97
3,김동훈,대우,220,27,8.15
4,유대순,유공,213,23,9.26
5,최인영,현대,205,27,7.59
6,나치선,일화,173,23,7.52
7,이문영,유공,172,17,10.12
8,김영호1,일화,150,18,8.33
9,정기동,포철,138,14,9.86
