no,name,team,goalKick,numOfGame,GoalKickPerGame
1,정기동,포철,148,18,8.22
2,김성수,한일,129,16,8.06
3,김현태,럭금,103,15,6.87
4,김영호1,유공,102,14,7.29
5,최인영,현대,95,12,7.92
6,김풍주,대우,81,13,6.23
7,정성교,대우,67,7,9.57
8,호성호,현대,51,6,8.5
9,박연혁,유공,48,6,8
