no,name,team,change,numOfGame,ChangePerGame
1,김기남1,울산,16,16,1
2,김봉길,전남,15,15,1
3,김기선,전남,13,16,0.81
4,김성구,전북,12,12,1
5,권태규,안양LG,11,12,0.92
5,박효빈,부천SK,11,12,0.92
5,황승주,울산,11,14,0.79
5,스카첸코,전남,11,15,0.73
9,박성철1,부천SK,10,10,1
9,이기근,수원,10,10,1
9,안홍민,울산,10,11,0.91
9,이장관,부산,10,11,0.91
9,김승한,대전,10,13,0.77
9,김명곤,포항,10,14,0.71
9,김용갑,전북,10,15,0.67
