no,name,team,goalKick,numOfGame,GoalKickPerGame
1,샤샤1,부천유공,211,26,8.12
2,알렉세이2,전북,206,20,10.3
2,김병지,울산,206,25,8.24
4,박철우,수원,159,20,7.95
5,신의손,천안,152,26,5.85
6,임종국,안양LG,141,14,10.07
7,이명열,포항,139,22,6.32
8,일리치,부산,123,19,6.47
9,성원종,전북,111,13,8.54
