no,name,team,goalKick,numOfGame,GoalKickPerGame
1,신의손,일화,214,30,7.13
2,박철우,LG,156,24,6.5
3,이명열,포철,144,21,6.86
4,유대순,유공,139,22,6.32
5,김병지,현대,132,21,6.29
6,김풍주,대우,72,19,3.79
7,최인영,현대,62,10,6.2
8,토체프,유공,45,9,5
9,김봉수,LG,44,6,7.33
