no,name,team,change,numOfGame,ChangePerGame
1,황연석,성남,21,21,1
2,박성철1,부천SK,20,20,1
2,박남열,성남,20,23,0.87
2,추운기,전북,20,27,0.74
5,이원식,부천SK,19,21,0.9
5,파울링뇨,울산,19,25,0.76
7,양현정,전북,18,19,0.95
8,마르코1,안양LG,17,23,0.74
8,이길용2,울산,17,24,0.71
10,보띠,전북,16,16,1
10,박성배,전북,16,17,0.94
10,이반2,전남,16,19,0.84
