no,name,team,change,numOfGame,ChangePerGame
1,김준현,유공,32,33,0.97
2,노경환,대우,26,37,0.7
3,문영래,유공,25,33,0.76
4,김이주,일화,22,36,0.61
5,김봉길,유공,21,24,0.88
5,주경철,럭금,21,27,0.78
7,유승관,일화,20,25,0.8
7,정동복,현대,20,30,0.67
9,이인재,럭금,19,30,0.63
