no,name,team,goalKick,numOfGame,GoalKickPerGame
1,김호준1,제주,301,31,9.71
2,백민철,대구,280,28,10
3,김병지,경남,278,29,9.59
4,정성룡,성남,264,30,8.8
5,김용대,서울,232,30,7.73
6,유현,강원,228,24,9.5
7,염동균,전남,226,23,9.83
7,김영광1,울산,226,27,8.37
9,김지혁,광주상,211,26,8.12
10,신화용,포항,170,23,7.39
