no,name,team,goalKick,numOfGame,GoalKickPerGame
1,신범철,부산,273,25,10.92
2,최은성,대전,264,23,11.48
3,이용발,부천SK,261,29,9
4,이운재,수원,227,27,8.41
5,이광석,전북,223,24,9.29
6,임종국,안양LG,216,19,11.37
7,김해운,천안,185,17,10.88
8,박철우,전남,158,16,9.88
9,양지원,울산,137,14,9.79
