no,name,team,goalKick,numOfGame,GoalKickPerGame
1,최은성,대전,198,18,11
2,임종국,안양LG,172,15,11.47
3,알렉세이2,전북,142,14,10.14
4,박종문,전남,131,15,8.73
5,김병지,울산,120,13,9.23
6,차상광,천안,104,9,11.56
7,박철우,수원,99,11,9
8,김이섭,포항,89,10,8.9
9,샤샤1,부천SK,81,7,11.57
9,드라간1,포항,81,8,10.13
